InvoiceNumber,Item,Amount,Tax,Total,Currency,Date
951502,IT Support,160763,32152.6,192916,USD,2017-01-12
527878,Concierge Services,158570,31714,190284,EUR,2017-02-20
464933,Waste management services,214265,42853,257118,EUR,2017-03-16
707639,Various paper supplies,90906,18181.2,109087,RON,2017-04-08
602575,Waste management services,63617,12723.4,76340.4,RON,2017-05-28
474364,Waste management services,285794,57158.8,342953,USD,2017-05-25
893047,Concierge Services,72608,14521.6,87129.6,USD,2017-05-06
873909,Concierge Services,146371,29274.2,175645,CAD,2017-05-11
301873,Waste management services,13808,2761.6,16569.6,USD,2017-06-05
206719,Concierge Services,173653,34730.6,208384,EUR,2017-07-07
579157,Various paper supplies,30566,6113.2,36679.2,CAD,2017-07-25
285399,IT Support,13815,2763,16578,CAD,2017-08-21
353962,Concierge Services,141082,28216.4,169298,USD,2017-09-06
704738,Beverages and Catering,143922,28784.4,172706,RON,2017-10-19
450733,IT Support,56189,11237.8,67426.8,CAD,2017-11-20
459510,Concierge Services,181565,36313,217878,USD,2017-11-26
801509,Concierge Services,203051,40610.2,243661,RON,2017-12-18
882853,Various paper supplies,87758,17551.6,105310,CAD,2017-12-01
