InvoiceNumber,Item,Amount,Tax,Total,Currency,Date
793333,IT Support,126649,25329.8,151979,RON,2017-01-08
296617,Beverages and Catering,234375,46875,281250,CAD,2017-02-05
452950,Concierge Services,279238,55847.6,335086,RON,2017-02-26
504574,IT Support,13572,2714.4,16286.4,USD,2017-02-02
471486,Professional Services,120547,24109.4,144656,RON,2017-05-17
234155,Beverages and Catering,41397,8279.4,49676.4,USD,2017-06-27
761994,IT Support,202766,40553.2,243319,RON,2017-06-05
722565,Professional Services,259305,51861,311166,RON,2017-06-14
427516,Beverages and Catering,153002,30600.4,183602,EUR,2017-07-17
345179,Beverages and Catering,204290,40858,245148,CAD,2017-08-14
205207,Concierge Services,115347,23069.4,138416,EUR,2017-08-06
633871,Concierge Services,155226,31045.2,186271,CAD,2017-08-18
953724,Waste management services,190427,38085.4,228512,CAD,2017-09-25
888218,Concierge Services,44698,8939.6,53637.6,RON,2017-10-22
369580,Professional Services,9389,1877.8,11266.8,CAD,2017-10-27
274109,Professional Services,8874,1774.8,10648.8,EUR,2017-10-14
774107,Various paper supplies,24673,4934.6,29607.6,RON,2017-10-13
601057,Concierge Services,292498,58499.6,350998,USD,2017-10-23
820996,Beverages and Catering,70836,14167.2,85003.2,CAD,2017-11-16
531366,Beverages and Catering,34010,6802,40812,USD,2017-12-26
886038,Beverages and Catering,134726,26945.2,161671,RON,2017-12-22
