InvoiceNumber,Item,Amount,Tax,Total,Currency,Date
476582,Concierge Services,230280,46056,276336,EUR,2017-02-24
744440,Concierge Services,133804,26760.8,160565,RON,2017-02-08
243453,Waste management services,85018,17003.6,102022,USD,2017-02-12
885249,Concierge Services,289838,57967.6,347806,EUR,2017-02-14
709985,Beverages and Catering,238213,47642.6,285856,USD,2017-03-01
999496,IT Support,131188,26237.6,157426,EUR,2017-06-05
615369,IT Support,258022,51604.4,309626,RON,2017-06-26
778813,Waste management services,109614,21922.8,131537,EUR,2017-06-23
891816,IT Support,259687,51937.4,311624,CAD,2017-06-19
902964,Concierge Services,219156,43831.2,262987,USD,2017-06-07
308963,Various paper supplies,94327,18865.4,113192,CAD,2017-07-10
105470,Concierge Services,68162,13632.4,81794.4,CAD,2017-07-22
182779,Concierge Services,112449,22489.8,134939,USD,2017-11-27
