InvoiceNumber,Item,Date,Amount,Tax,Total,Currency
814948,Waste management services,2017-01-10,267783,53556.6,321340,CAD
237382,IT Support,2017-02-05,263358,52671.6,316030,EUR
229568,Beverages and Catering,2017-03-03,21267,4253.4,25520.4,CAD
442703,Various paper supplies,2017-04-09,228739,45747.8,274487,RON
873481,Various paper supplies,2017-05-10,46948,9389.6,56337.6,USD
857847,Beverages and Catering,2017-05-26,49988,9997.6,59985.6,CAD
386398,Concierge Services,2017-05-09,49510,9902,59412,RON
239065,Waste management services,2017-05-24,235138,47027.6,282166,USD
127748,Various paper supplies,2017-06-28,9943,1988.6,11931.6,USD
321531,Concierge Services,2017-06-08,293475,58695,352170,USD
392466,IT Support,2017-06-20,157194,31438.8,188633,EUR
963071,Concierge Services,2017-07-15,142261,28452.2,170713,CAD
476908,Beverages and Catering,2017-07-09,48867,9773.4,58640.4,RON
303237,Professional Services,2017-08-22,56969,11393.8,68362.8,RON
878327,Concierge Services,2017-08-17,181240,36248,217488,USD
416169,Various paper supplies,2017-09-12,149976,29995.2,179971,EUR
348454,Concierge Services,2017-09-17,241644,48328.8,289973,RON
174696,Concierge Services,2017-09-14,39866,7973.2,47839.2,USD
159274,Waste management services,2017-10-11,126740,25348,152088,RON
169959,Concierge Services,2017-11-26,6653,1330.6,7983.6,CAD
503109,Various paper supplies,2017-12-06,188259,37651.8,225911,RON
191601,Beverages and Catering,2017-12-17,41637,8327.4,49964.4,CAD
