InvoiceNumber,Item,Amount,Tax,Total,Currency,Date
605546,Waste management services,265623,53124.6,318748,CAD,2017-01-28
364774,Waste management services,75725,15145,90870,EUR,2017-01-02
895836,Concierge Services,114512,22902.4,137414,RON,2017-02-15
288866,Waste management services,274372,54874.4,329246,RON,2017-02-01
346982,IT Support,26963,5392.6,32355.6,RON,2017-03-11
464198,Various paper supplies,143653,28730.6,172384,CAD,2017-04-14
590522,Waste management services,208012,41602.4,249614,RON,2017-04-16
232069,Beverages and Catering,281232,56246.4,337478,EUR,2017-05-12
724649,Beverages and Catering,250701,50140.2,300841,USD,2017-06-17
803088,Waste management services,161346,32269.2,193615,CAD,2017-06-08
663406,Waste management services,99057,19811.4,118868,USD,2017-07-14
838797,Waste management services,134913,26982.6,161896,USD,2017-08-15
871963,Various paper supplies,7055,1411,8466,EUR,2017-08-15
995974,Beverages and Catering,165275,33055,198330,EUR,2017-08-04
975611,Beverages and Catering,131834,26366.8,158201,RON,2017-08-09
717495,IT Support,238649,47729.8,286379,CAD,2017-09-11
703082,Beverages and Catering,95469,19093.8,114563,CAD,2017-11-06
935363,Professional Services,105418,21083.6,126502,EUR,2017-11-09
784190,Professional Services,265124,53024.8,318149,USD,2017-12-14
