InvoiceNumber,Item,Amount,Tax,Total,Currency,Date
308674,IT Support,243907,48781.4,292688,CAD,2017-01-11
862215,Various paper supplies,298461,59692.2,358153,EUR,2017-01-11
283384,Professional Services,3522,704.4,4226.4,RON,2017-01-23
179301,Various paper supplies,217833,43566.6,261400,CAD,2017-03-12
641905,Concierge Services,42750,8550,51300,RON,2017-03-21
252340,IT Support,263236,52647.2,315883,EUR,2017-04-08
884032,IT Support,1624,324.8,1948.8,CAD,2017-05-16
871765,Beverages and Catering,172296,34459.2,206755,RON,2017-06-18
935086,Concierge Services,97893,19578.6,117472,CAD,2017-07-18
713356,Beverages and Catering,254890,50978,305868,RON,2017-07-25
877169,Various paper supplies,243048,48609.6,291658,CAD,2017-08-19
491412,Professional Services,89249,17849.8,107099,RON,2017-09-13
188634,Beverages and Catering,177428,35485.6,212914,RON,2017-09-19
785730,Concierge Services,28858,5771.6,34629.6,USD,2017-09-11
148461,IT Support,266484,53296.8,319781,CAD,2017-09-28
607286,Professional Services,153931,30786.2,184717,USD,2017-10-01
702402,Concierge Services,181647,36329.4,217976,CAD,2017-10-14
502217,Various paper supplies,46467,9293.4,55760.4,EUR,2017-11-28
467753,Beverages and Catering,177246,35449.2,212695,CAD,2017-11-07
