InvoiceNumber,Item,Date,Amount,Tax,Total,Currency
122355,Beverages and Catering,2017-01-22,25205,5041,30246,CAD
394734,IT Support,2017-01-19,133598,26719.6,160318,RON
212036,Waste management services,2017-02-23,177567,35513.4,213080,EUR
509473,Beverages and Catering,2017-03-23,268390,53678,322068,CAD
187737,IT Support,2017-03-25,288114,57622.8,345737,RON
186755,IT Support,2017-04-11,26198,5239.6,31437.6,RON
993186,Beverages and Catering,2017-04-19,230675,46135,276810,RON
251734,Beverages and Catering,2017-04-09,293631,58726.2,352357,RON
772368,Waste management services,2017-04-11,200972,40194.4,241166,EUR
866680,Concierge Services,2017-04-07,73997,14799.4,88796.4,RON
712019,Professional Services,2017-05-17,169500,33900,203400,CAD
647628,IT Support,2017-06-25,130447,26089.4,156536,RON
665360,Beverages and Catering,2017-06-22,245132,49026.4,294158,CAD
746604,Various paper supplies,2017-08-16,62940,12588,75528,EUR
948293,Waste management services,2017-08-19,18096,3619.2,21715.2,CAD
334703,Waste management services,2017-09-25,65085,13017,78102,EUR
923734,Various paper supplies,2017-09-02,120111,24022.2,144133,RON
487327,Professional Services,2017-10-21,299308,59861.6,359170,EUR
750333,Waste management services,2017-11-14,102691,20538.2,123229,USD
697729,IT Support,2017-11-18,136601,27320.2,163921,RON
468307,Professional Services,2017-11-07,179897,35979.4,215876,CAD
796162,Professional Services,2017-11-10,43222,8644.4,51866.4,EUR
489158,Beverages and Catering,2017-11-05,77513,15502.6,93015.6,USD
896036,Concierge Services,2017-12-09,179984,35996.8,215981,USD
618217,Various paper supplies,2017-12-06,79190,15838,95028,CAD
449397,IT Support,2017-12-19,203437,40687.4,244124,EUR
655153,Waste management services,2017-12-26,55452,11090.4,66542.4,USD
