InvoiceNumber,Item,Date,Amount,Tax,Total,Currency
417600,Professional Services,2017-01-24,144206,28841.2,173047,RON
709860,Beverages and Catering,2017-01-14,10032,2006.4,12038.4,EUR
103549,Concierge Services,2017-02-27,118127,23625.4,141752,EUR
669874,Various paper supplies,2017-02-25,284870,56974,341844,USD
250330,Concierge Services,2017-02-05,130759,26151.8,156911,EUR
903465,Various paper supplies,2017-03-27,191879,38375.8,230255,CAD
464599,Waste management services,2017-03-01,70479,14095.8,84574.8,CAD
563548,Various paper supplies,2017-03-14,73311,14662.2,87973.2,RON
149517,IT Support,2017-04-03,139788,27957.6,167746,EUR
820977,Concierge Services,2017-04-07,206585,41317,247902,USD
746381,IT Support,2017-05-11,125679,25135.8,150815,CAD
606216,Professional Services,2017-05-01,136508,27301.6,163810,USD
367950,Waste management services,2017-05-16,21418,4283.6,25701.6,CAD
894957,IT Support,2017-05-19,29471,5894.2,35365.2,RON
740317,IT Support,2017-07-03,226361,45272.2,271633,USD
980786,Professional Services,2017-07-08,223898,44779.6,268678,USD
840805,Various paper supplies,2017-07-05,253142,50628.4,303770,RON
896032,IT Support,2017-09-01,149723,29944.6,179668,CAD
847556,Various paper supplies,2017-09-20,228298,45659.6,273958,EUR
515962,Beverages and Catering,2017-10-23,32191,6438.2,38629.2,CAD
748632,IT Support,2017-11-06,103108,20621.6,123730,USD
806432,Waste management services,2017-11-24,298402,59680.4,358082,EUR
321447,Waste management services,2017-12-25,37849,7569.8,45418.8,EUR
